Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-01-02,Vengeance,2022,https://boxd.it/3CFh93,2,,,2023-01-01
2023-01-02,Avatar: The Way of Water,2022,https://boxd.it/3CNR4T,3,,,2023-01-01
2023-01-02,Mission: Impossible – Rogue Nation,2015,https://boxd.it/3CQzPX,,,,2023-01-01
2023-01-03,Louis Armstrong's Black & Blues,2022,https://boxd.it/3Dbm8D,3,,,2023-01-02
2023-01-08,Pinocchio,2022,https://boxd.it/3Fze1P,2.5,,,2023-01-07
2023-01-08,The Menu,2022,https://boxd.it/3Fze7D,3.5,,,2023-01-07
2023-01-12,Triangle of Sadness,2022,https://boxd.it/3GN0dJ,3.5,,,2023-01-11
2023-01-13,Decision to Leave,2022,https://boxd.it/3H8bmf,3.5,,,2023-01-12
2023-01-20,"Quo Vadis, Aida?",2020,https://boxd.it/3Jp6f1,3,,,2023-01-19
2023-01-21,Total Recall,1990,https://boxd.it/3JHgCF,3.5,,,2023-01-20
2023-02-01,Babylon,2022,https://boxd.it/3NhlZj,3,,,2023-01-31
2023-02-05,She Said,2022,https://boxd.it/3OpDqB,2.5,,,2023-02-04
2023-02-09,Close,2022,https://boxd.it/3PDQov,3.5,,,2023-02-08
2023-02-12,Return to Seoul,2022,https://boxd.it/3QpChL,3.5,,,2023-02-11
2023-02-17,Women Talking,2022,https://boxd.it/3RPETN,2.5,,,2023-02-16
2023-02-21,Aftersun,2022,https://boxd.it/3SWkAJ,4,Yes,,2023-02-20
2023-02-28,Decision to Leave,2022,https://boxd.it/3V7Ott,3,Yes,,2023-02-26
2023-03-06,TÁR,2022,https://boxd.it/3WJOpV,4,Yes,,2023-03-05
2023-04-02,Tetris,2023,https://boxd.it/43Ix35,2.5,,,2023-04-01
2023-04-02,Rye Lane,2023,https://boxd.it/43MFBx,3,,,2023-04-01
2023-04-05,Infinity Pool,2023,https://boxd.it/44PRDP,3,,,2023-04-05
2023-04-06,Sick of Myself,2022,https://boxd.it/44V0Xf,3.5,,,2023-04-05
2023-04-08,Cars,2006,https://boxd.it/45rR89,2.5,Yes,,2023-04-07
